formula,Elements,Metal_NonMetal,Electronegativity,Num_Elements,Atomic_Composition,Is_Metal
W2O5,"['W', 'O']","['W - Metal', 'O - Non-Metal']","[2.36, 3.44]",2,"{'W': 2.0, 'O': 5.0}",FALSE
Rn,['Rn'],['Rn - Non-Metal'],[2.2],1,{'Rn': 1.0},FALSE
AgS2In2Pt3,"['Ag', 'S', 'In', 'Pt']","['Ag - Metal', 'S - Non-Metal', 'In - Metal', 'Pt - Metal']","[1.93, 2.58, 1.78, 2.28]",4,"{'Ag': 1.0, 'S': 2.0, 'In': 2.0, 'Pt': 3.0}",FALSE
ClIr7,"['Cl', 'Ir']","['Cl - Non-Metal', 'Ir - Metal']","[3.16, 2.2]",2,"{'Cl': 1.0, 'Ir': 7.0}",FALSE
ClReIn2,"['Cl', 'Re', 'In']","['Cl - Non-Metal', 'Re - Metal', 'In - Metal']","[3.16, 1.9, 1.78]",3,"{'Cl': 1.0, 'Re': 1.0, 'In': 2.0}",FALSE
NSn,"['N', 'Sn']","['N - Non-Metal', 'Sn - Metal']","[3.04, 1.96]",2,"{'N': 1.0, 'Sn': 1.0}",FALSE
NRhF2H4,"['N', 'Rh', 'F', 'H']","['N - Non-Metal', 'Rh - Metal', 'F - Non-Metal', 'H - Unknown']","[3.04, 2.28, 3.98, 2.2]",4,"{'N': 1.0, 'Rh': 1.0, 'F': 2.0, 'H': 4.0}",FALSE
UI5,"['U', 'I']","['U - Metal', 'I - Non-Metal']","[1.38, 2.66]",2,"{'U': 1.0, 'I': 5.0}",TRUE
ThS2Fe3,"['Th', 'S', 'Fe']","['Th - Metal', 'S - Non-Metal', 'Fe - Metal']","[1.3, 2.58, 1.83]",3,"{'Th': 1.0, 'S': 2.0, 'Fe': 3.0}",TRUE
HoLu4Sb5,"['Ho', 'Lu', 'Sb']","['Ho - Metal', 'Lu - Metal', 'Sb - Non-Metal']","[1.23, 1.27, 2.05]",3,"{'Ho': 1.0, 'Lu': 4.0, 'Sb': 5.0}",TRUE
HfAt3Si5,"['Hf', 'At', 'Si']","['Hf - Metal', 'At - Non-Metal', 'Si - Non-Metal']","[1.3, 2.2, 1.9]",3,"{'Hf': 1.0, 'At': 3.0, 'Si': 5.0}",TRUE
AlBe2I6,"['Al', 'Be', 'I']","['Al - Metal', 'Be - Metal', 'I - Non-Metal']","[1.61, 1.57, 2.66]",3,"{'Al': 1.0, 'Be': 2.0, 'I': 6.0}",TRUE
XePo2,"['Xe', 'Po']","['Xe - Non-Metal', 'Po - Non-Metal']","[2.6, 2.0]",2,"{'Xe': 1.0, 'Po': 2.0}",FALSE
CuFe2F4,"['Cu', 'Fe', 'F']","['Cu - Metal', 'Fe - Metal', 'F - Non-Metal']","[1.9, 1.83, 3.98]",3,"{'Cu': 1.0, 'Fe': 2.0, 'F': 4.0}",FALSE
Cu2O3,"['Cu', 'O']","['Cu - Metal', 'O - Non-Metal']","[1.9, 3.44]",2,"{'Cu': 2.0, 'O': 3.0}",FALSE
PbI2,"['Pb', 'I']","['Pb - Metal', 'I - Non-Metal']","[2.33, 2.66]",2,"{'Pb': 1.0, 'I': 2.0}",FALSE
Bi6,['Bi'],['Bi - Metal'],[2.02],1,{'Bi': 6.0},TRUE
I6,['I'],['I - Non-Metal'],[2.66],1,{'I': 6.0},FALSE
PbPoPt5,"['Pb', 'Po', 'Pt']","['Pb - Metal', 'Po - Non-Metal', 'Pt - Metal']","[2.33, 2.0, 2.28]",3,"{'Pb': 1.0, 'Po': 1.0, 'Pt': 5.0}",FALSE
At3N4Cr5,"['At', 'N', 'Cr']","['At - Non-Metal', 'N - Non-Metal', 'Cr - Metal']","[2.2, 3.04, 1.66]",3,"{'At': 3.0, 'N': 4.0, 'Cr': 5.0}",FALSE
BGe3,"['B', 'Ge']","['B - Non-Metal', 'Ge - Non-Metal']","[2.04, 2.01]",2,"{'B': 1.0, 'Ge': 3.0}",TRUE
Am2Fe4Se5,"['Am', 'Fe', 'Se']","['Am - Metal', 'Fe - Metal', 'Se - Non-Metal']","[1.3, 1.83, 2.55]",3,"{'Am': 2.0, 'Fe': 4.0, 'Se': 5.0}",TRUE
P7,['P'],['P - Non-Metal'],[2.19],1,{'P': 7.0},FALSE
PrF3,"['Pr', 'F']","['Pr - Metal', 'F - Non-Metal']","[1.13, 3.98]",2,"{'Pr': 1.0, 'F': 3.0}",FALSE
AuY2S5,"['Au', 'Y', 'S']","['Au - Metal', 'Y - Metal', 'S - Non-Metal']","[2.54, 1.22, 2.58]",3,"{'Au': 1.0, 'Y': 2.0, 'S': 5.0}",FALSE
SGa,"['S', 'Ga']","['S - Non-Metal', 'Ga - Metal']","[2.58, 1.81]",2,"{'S': 1.0, 'Ga': 1.0}",FALSE
Y2O3In4,"['Y', 'O', 'In']","['Y - Metal', 'O - Non-Metal', 'In - Metal']","[1.22, 3.44, 1.78]",3,"{'Y': 2.0, 'O': 3.0, 'In': 4.0}",FALSE
Se2,['Se'],['Se - Non-Metal'],[2.55],1,{'Se': 2.0},FALSE
OsRn2Am2Fe3,"['Os', 'Rn', 'Am', 'Fe']","['Os - Metal', 'Rn - Non-Metal', 'Am - Metal', 'Fe - Metal']","[2.2, 2.2, 1.3, 1.83]",4,"{'Os': 1.0, 'Rn': 2.0, 'Am': 2.0, 'Fe': 3.0}",TRUE
PbTe3Zr4,"['Pb', 'Te', 'Zr']","['Pb - Metal', 'Te - Non-Metal', 'Zr - Metal']","[2.33, 2.1, 1.33]",3,"{'Pb': 1.0, 'Te': 3.0, 'Zr': 4.0}",TRUE
AsTc5,"['As', 'Tc']","['As - Non-Metal', 'Tc - Metal']","[2.18, 1.9]",2,"{'As': 1.0, 'Tc': 5.0}",TRUE
Te5,['Te'],['Te - Non-Metal'],[2.1],1,{'Te': 5.0},FALSE
Mo2P5,"['Mo', 'P']","['Mo - Metal', 'P - Non-Metal']","[2.16, 2.19]",2,"{'Mo': 2.0, 'P': 5.0}",FALSE
Cl3,['Cl'],['Cl - Non-Metal'],[3.16],1,{'Cl': 3.0},FALSE
At2W7,"['At', 'W']","['At - Non-Metal', 'W - Metal']","[2.2, 2.36]",2,"{'At': 2.0, 'W': 7.0}",FALSE
NpP2,"['Np', 'P']","['Np - Metal', 'P - Non-Metal']","[1.36, 2.19]",2,"{'Np': 1.0, 'P': 2.0}",TRUE
SeCu2,"['Se', 'Cu']","['Se - Non-Metal', 'Cu - Metal']","[2.55, 1.9]",2,"{'Se': 1.0, 'Cu': 2.0}",FALSE
SiI2Li3,"['Si', 'I', 'Li']","['Si - Non-Metal', 'I - Non-Metal', 'Li - Metal']","[1.9, 2.66, 0.98]",3,"{'Si': 1.0, 'I': 2.0, 'Li': 3.0}",TRUE
Sn5,['Sn'],['Sn - Metal'],[1.96],1,{'Sn': 5.0},TRUE
CAtTh3Co5,"['C', 'At', 'Th', 'Co']","['C - Non-Metal', 'At - Non-Metal', 'Th - Metal', 'Co - Metal']","[2.55, 2.2, 1.3, 1.88]",4,"{'C': 1.0, 'At': 1.0, 'Th': 3.0, 'Co': 5.0}",TRUE
TeSe3,"['Te', 'Se']","['Te - Non-Metal', 'Se - Non-Metal']","[2.1, 2.55]",2,"{'Te': 1.0, 'Se': 3.0}",FALSE
CCl4,"['C', 'Cl']","['C - Non-Metal', 'Cl - Non-Metal']","[2.55, 3.16]",2,"{'C': 1.0, 'Cl': 4.0}",FALSE
MgCf2Mn3Br4,"['Mg', 'Cf', 'Mn', 'Br']","['Mg - Metal', 'Cf - Metal', 'Mn - Metal', 'Br - Non-Metal']","[1.31, 1.3, 1.55, 2.96]",4,"{'Mg': 1.0, 'Cf': 2.0, 'Mn': 3.0, 'Br': 4.0}",TRUE
NiGa2N3,"['Ni', 'Ga', 'N']","['Ni - Metal', 'Ga - Metal', 'N - Non-Metal']","[1.91, 1.81, 3.04]",3,"{'Ni': 1.0, 'Ga': 2.0, 'N': 3.0}",FALSE
ReCa2S7,"['Re', 'Ca', 'S']","['Re - Metal', 'Ca - Metal', 'S - Non-Metal']","[1.9, 1.0, 2.58]",3,"{'Re': 1.0, 'Ca': 2.0, 'S': 7.0}",TRUE
NbTe,"['Nb', 'Te']","['Nb - Metal', 'Te - Non-Metal']","[1.6, 2.1]",2,"{'Nb': 1.0, 'Te': 1.0}",TRUE
CBrPo3Cm3,"['C', 'Br', 'Po', 'Cm']","['C - Non-Metal', 'Br - Non-Metal', 'Po - Non-Metal', 'Cm - Metal']","[2.55, 2.96, 2.0, 1.3]",4,"{'C': 1.0, 'Br': 1.0, 'Po': 3.0, 'Cm': 3.0}",FALSE
YAt3Ni5,"['Y', 'At', 'Ni']","['Y - Metal', 'At - Non-Metal', 'Ni - Metal']","[1.22, 2.2, 1.91]",3,"{'Y': 1.0, 'At': 3.0, 'Ni': 5.0}",TRUE
Ta2Br3Sb4,"['Ta', 'Br', 'Sb']","['Ta - Metal', 'Br - Non-Metal', 'Sb - Non-Metal']","[1.5, 2.96, 2.05]",3,"{'Ta': 2.0, 'Br': 3.0, 'Sb': 4.0}",FALSE
PoCfXe3Mn5,"['Po', 'Cf', 'Xe', 'Mn']","['Po - Non-Metal', 'Cf - Metal', 'Xe - Non-Metal', 'Mn - Metal']","[2.0, 1.3, 2.6, 1.55]",4,"{'Po': 1.0, 'Cf': 1.0, 'Xe': 3.0, 'Mn': 5.0}",TRUE
SN2,"['S', 'N']","['S - Non-Metal', 'N - Non-Metal']","[2.58, 3.04]",2,"{'S': 1.0, 'N': 2.0}",FALSE
CrCuPt3Br4,"['Cr', 'Cu', 'Pt', 'Br']","['Cr - Metal', 'Cu - Metal', 'Pt - Metal', 'Br - Non-Metal']","[1.66, 1.9, 2.28, 2.96]",4,"{'Cr': 1.0, 'Cu': 1.0, 'Pt': 3.0, 'Br': 4.0}",FALSE
Ge2,['Ge'],['Ge - Non-Metal'],[2.01],1,{'Ge': 2.0},FALSE
TmBi,"['Tm', 'Bi']","['Tm - Metal', 'Bi - Metal']","[1.25, 2.02]",2,"{'Tm': 1.0, 'Bi': 1.0}",TRUE
Ta2N5,"['Ta', 'N']","['Ta - Metal', 'N - Non-Metal']","[1.5, 3.04]",2,"{'Ta': 2.0, 'N': 5.0}",FALSE
ITi2Na5,"['I', 'Ti', 'Na']","['I - Non-Metal', 'Ti - Metal', 'Na - Metal']","[2.66, 1.54, 0.93]",3,"{'I': 1.0, 'Ti': 2.0, 'Na': 5.0}",TRUE
HfSe4Tc4,"['Hf', 'Se', 'Tc']","['Hf - Metal', 'Se - Non-Metal', 'Tc - Metal']","[1.3, 2.55, 1.9]",3,"{'Hf': 1.0, 'Se': 4.0, 'Tc': 4.0}",TRUE
SiTe,"['Si', 'Te']","['Si - Non-Metal', 'Te - Non-Metal']","[1.9, 2.1]",2,"{'Si': 1.0, 'Te': 1.0}",TRUE
IAu2V8,"['I', 'Au', 'V']","['I - Non-Metal', 'Au - Metal', 'V - Metal']","[2.66, 2.54, 1.63]",3,"{'I': 1.0, 'Au': 2.0, 'V': 8.0}",FALSE
IYbCl5,"['I', 'Yb', 'Cl']","['I - Non-Metal', 'Yb - Metal', 'Cl - Non-Metal']","[2.66, 1.1, 3.16]",3,"{'I': 1.0, 'Yb': 1.0, 'Cl': 5.0}",FALSE
BkBr4,"['Bk', 'Br']","['Bk - Metal', 'Br - Non-Metal']","[1.3, 2.96]",2,"{'Bk': 1.0, 'Br': 4.0}",FALSE
BrMo4Ge6,"['Br', 'Mo', 'Ge']","['Br - Non-Metal', 'Mo - Metal', 'Ge - Non-Metal']","[2.96, 2.16, 2.01]",3,"{'Br': 1.0, 'Mo': 4.0, 'Ge': 6.0}",FALSE
KrRh2,"['Kr', 'Rh']","['Kr - Non-Metal', 'Rh - Metal']","[3.0, 2.28]",2,"{'Kr': 1.0, 'Rh': 2.0}",FALSE
Po6,['Po'],['Po - Non-Metal'],[2.0],1,{'Po': 6.0},FALSE
Sn,['Sn'],['Sn - Metal'],[1.96],1,{'Sn': 1.0},TRUE
ClO3Tc7,"['Cl', 'O', 'Tc']","['Cl - Non-Metal', 'O - Non-Metal', 'Tc - Metal']","[3.16, 3.44, 1.9]",3,"{'Cl': 1.0, 'O': 3.0, 'Tc': 7.0}",FALSE
YSnCl2Nb8,"['Y', 'Sn', 'Cl', 'Nb']","['Y - Metal', 'Sn - Metal', 'Cl - Non-Metal', 'Nb - Metal']","[1.22, 1.96, 3.16, 1.6]",4,"{'Y': 1.0, 'Sn': 1.0, 'Cl': 2.0, 'Nb': 8.0}",TRUE
CuW2Xe3,"['Cu', 'W', 'Xe']","['Cu - Metal', 'W - Metal', 'Xe - Non-Metal']","[1.9, 2.36, 2.6]",3,"{'Cu': 1.0, 'W': 2.0, 'Xe': 3.0}",FALSE
IrThAm3Cl5,"['Ir', 'Th', 'Am', 'Cl']","['Ir - Metal', 'Th - Metal', 'Am - Metal', 'Cl - Non-Metal']","[2.2, 1.3, 1.3, 3.16]",4,"{'Ir': 1.0, 'Th': 1.0, 'Am': 3.0, 'Cl': 5.0}",TRUE
TeAuSe4,"['Te', 'Au', 'Se']","['Te - Non-Metal', 'Au - Metal', 'Se - Non-Metal']","[2.1, 2.54, 2.55]",3,"{'Te': 1.0, 'Au': 1.0, 'Se': 4.0}",FALSE
As,['As'],['As - Non-Metal'],[2.18],1,{'As': 1.0},FALSE
Cl4,['Cl'],['Cl - Non-Metal'],[3.16],1,{'Cl': 4.0},FALSE
Se6,['Se'],['Se - Non-Metal'],[2.55],1,{'Se': 6.0},FALSE
SnF2,"['Sn', 'F']","['Sn - Metal', 'F - Non-Metal']","[1.96, 3.98]",2,"{'Sn': 1.0, 'F': 2.0}",FALSE
Hf3Mn4S6,"['Hf', 'Mn', 'S']","['Hf - Metal', 'Mn - Metal', 'S - Non-Metal']","[1.3, 1.55, 2.58]",3,"{'Hf': 3.0, 'Mn': 4.0, 'S': 6.0}",TRUE
Ru2Po3,"['Ru', 'Po']","['Ru - Metal', 'Po - Non-Metal']","[2.2, 2.0]",2,"{'Ru': 2.0, 'Po': 3.0}",TRUE
EuCl2Ti2Ta6,"['Eu', 'Cl', 'Ti', 'Ta']","['Eu - Metal', 'Cl - Non-Metal', 'Ti - Metal', 'Ta - Metal']","[1.2, 3.16, 1.54, 1.5]",4,"{'Eu': 1.0, 'Cl': 2.0, 'Ti': 2.0, 'Ta': 6.0}",TRUE
N3,['N'],['N - Non-Metal'],[3.04],1,{'N': 3.0},FALSE
XeCd2C5Mn6,"['Xe', 'Cd', 'C', 'Mn']","['Xe - Non-Metal', 'Cd - Metal', 'C - Non-Metal', 'Mn - Metal']","[2.6, 1.69, 2.55, 1.55]",4,"{'Xe': 1.0, 'Cd': 2.0, 'C': 5.0, 'Mn': 6.0}",TRUE
NbBaPt2Br3Fe4,"['Nb', 'Ba', 'Pt', 'Br', 'Fe']","['Nb - Metal', 'Ba - Metal', 'Pt - Metal', 'Br - Non-Metal', 'Fe - Metal']","[1.6, 0.89, 2.28, 2.96, 1.83]",5,"{'Nb': 1.0, 'Ba': 1.0, 'Pt': 2.0, 'Br': 3.0, 'Fe': 4.0}",TRUE
NAt2Ta3Ge6,"['N', 'At', 'Ta', 'Ge']","['N - Non-Metal', 'At - Non-Metal', 'Ta - Metal', 'Ge - Non-Metal']","[3.04, 2.2, 1.5, 2.01]",4,"{'N': 1.0, 'At': 2.0, 'Ta': 3.0, 'Ge': 6.0}",FALSE
XeSmTh2Si7,"['Xe', 'Sm', 'Th', 'Si']","['Xe - Non-Metal', 'Sm - Metal', 'Th - Metal', 'Si - Non-Metal']","[2.6, 1.17, 1.3, 1.9]",4,"{'Xe': 1.0, 'Sm': 1.0, 'Th': 2.0, 'Si': 7.0}",TRUE
NiMoBr6,"['Ni', 'Mo', 'Br']","['Ni - Metal', 'Mo - Metal', 'Br - Non-Metal']","[1.91, 2.16, 2.96]",3,"{'Ni': 1.0, 'Mo': 1.0, 'Br': 6.0}",FALSE
HFmF2Co2Cr7,"['H', 'Fm', 'F', 'Co', 'Cr']","['H - Unknown', 'Fm - Metal', 'F - Non-Metal', 'Co - Metal', 'Cr - Metal']","[2.2, 1.3, 3.98, 1.88, 1.66]",5,"{'H': 1.0, 'Fm': 1.0, 'F': 2.0, 'Co': 2.0, 'Cr': 7.0}",FALSE
Sb8,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 8.0},FALSE
ClKPo2,"['Cl', 'K', 'Po']","['Cl - Non-Metal', 'K - Metal', 'Po - Non-Metal']","[3.16, 0.82, 2.0]",3,"{'Cl': 1.0, 'K': 1.0, 'Po': 2.0}",TRUE
Br2,['Br'],['Br - Non-Metal'],[2.96],1,{'Br': 2.0},FALSE
Xe2P3Tc6,"['Xe', 'P', 'Tc']","['Xe - Non-Metal', 'P - Non-Metal', 'Tc - Metal']","[2.6, 2.19, 1.9]",3,"{'Xe': 2.0, 'P': 3.0, 'Tc': 6.0}",FALSE
Fe2S4Re5,"['Fe', 'S', 'Re']","['Fe - Metal', 'S - Non-Metal', 'Re - Metal']","[1.83, 2.58, 1.9]",3,"{'Fe': 2.0, 'S': 4.0, 'Re': 5.0}",FALSE
GeXe2N3,"['Ge', 'Xe', 'N']","['Ge - Non-Metal', 'Xe - Non-Metal', 'N - Non-Metal']","[2.01, 2.6, 3.04]",3,"{'Ge': 1.0, 'Xe': 2.0, 'N': 3.0}",FALSE
BiNpNi3Ta3Po3,"['Bi', 'Np', 'Ni', 'Ta', 'Po']","['Bi - Metal', 'Np - Metal', 'Ni - Metal', 'Ta - Metal', 'Po - Non-Metal']","[2.02, 1.36, 1.91, 1.5, 2.0]",5,"{'Bi': 1.0, 'Np': 1.0, 'Ni': 3.0, 'Ta': 3.0, 'Po': 3.0}",TRUE
CoN2Xe3,"['Co', 'N', 'Xe']","['Co - Metal', 'N - Non-Metal', 'Xe - Non-Metal']","[1.88, 3.04, 2.6]",3,"{'Co': 1.0, 'N': 2.0, 'Xe': 3.0}",FALSE
SiTl3,"['Si', 'Tl']","['Si - Non-Metal', 'Tl - Metal']","[1.9, 1.62]",2,"{'Si': 1.0, 'Tl': 3.0}",TRUE
KrMoTi4Nb5,"['Kr', 'Mo', 'Ti', 'Nb']","['Kr - Non-Metal', 'Mo - Metal', 'Ti - Metal', 'Nb - Metal']","[3.0, 2.16, 1.54, 1.6]",4,"{'Kr': 1.0, 'Mo': 1.0, 'Ti': 4.0, 'Nb': 5.0}",TRUE
Se2Ni4P5,"['Se', 'Ni', 'P']","['Se - Non-Metal', 'Ni - Metal', 'P - Non-Metal']","[2.55, 1.91, 2.19]",3,"{'Se': 2.0, 'Ni': 4.0, 'P': 5.0}",FALSE
F,['F'],['F - Non-Metal'],[3.98],1,{'F': 1.0},FALSE
InSe2Cr3Tc4,"['In', 'Se', 'Cr', 'Tc']","['In - Metal', 'Se - Non-Metal', 'Cr - Metal', 'Tc - Metal']","[1.78, 2.55, 1.66, 1.9]",4,"{'In': 1.0, 'Se': 2.0, 'Cr': 3.0, 'Tc': 4.0}",TRUE
SRnTi2Se3Pd3,"['S', 'Rn', 'Ti', 'Se', 'Pd']","['S - Non-Metal', 'Rn - Non-Metal', 'Ti - Metal', 'Se - Non-Metal', 'Pd - Metal']","[2.58, 2.2, 1.54, 2.55, 2.2]",5,"{'S': 1.0, 'Rn': 1.0, 'Ti': 2.0, 'Se': 3.0, 'Pd': 3.0}",FALSE
I3N4,"['I', 'N']","['I - Non-Metal', 'N - Non-Metal']","[2.66, 3.04]",2,"{'I': 3.0, 'N': 4.0}",FALSE
YbCl3Tl4Be5,"['Yb', 'Cl', 'Tl', 'Be']","['Yb - Metal', 'Cl - Non-Metal', 'Tl - Metal', 'Be - Metal']","[1.1, 3.16, 1.62, 1.57]",4,"{'Yb': 1.0, 'Cl': 3.0, 'Tl': 4.0, 'Be': 5.0}",TRUE
Cl2Te2Mn5,"['Cl', 'Te', 'Mn']","['Cl - Non-Metal', 'Te - Non-Metal', 'Mn - Metal']","[3.16, 2.1, 1.55]",3,"{'Cl': 2.0, 'Te': 2.0, 'Mn': 5.0}",FALSE
TaZr2P3Re3,"['Ta', 'Zr', 'P', 'Re']","['Ta - Metal', 'Zr - Metal', 'P - Non-Metal', 'Re - Metal']","[1.5, 1.33, 2.19, 1.9]",4,"{'Ta': 1.0, 'Zr': 2.0, 'P': 3.0, 'Re': 3.0}",TRUE
Sn2,['Sn'],['Sn - Metal'],[1.96],1,{'Sn': 2.0},TRUE
GeKr2,"['Ge', 'Kr']","['Ge - Non-Metal', 'Kr - Non-Metal']","[2.01, 3.0]",2,"{'Ge': 1.0, 'Kr': 2.0}",FALSE
N5,['N'],['N - Non-Metal'],[3.04],1,{'N': 5.0},FALSE
Fe2V3Te5,"['Fe', 'V', 'Te']","['Fe - Metal', 'V - Metal', 'Te - Non-Metal']","[1.83, 1.63, 2.1]",3,"{'Fe': 2.0, 'V': 3.0, 'Te': 5.0}",TRUE
MnOsZr2F3,"['Mn', 'Os', 'Zr', 'F']","['Mn - Metal', 'Os - Metal', 'Zr - Metal', 'F - Non-Metal']","[1.55, 2.2, 1.33, 3.98]",4,"{'Mn': 1.0, 'Os': 1.0, 'Zr': 2.0, 'F': 3.0}",FALSE
LiRnTa3,"['Li', 'Rn', 'Ta']","['Li - Metal', 'Rn - Non-Metal', 'Ta - Metal']","[0.98, 2.2, 1.5]",3,"{'Li': 1.0, 'Rn': 1.0, 'Ta': 3.0}",TRUE
At2P7,"['At', 'P']","['At - Non-Metal', 'P - Non-Metal']","[2.2, 2.19]",2,"{'At': 2.0, 'P': 7.0}",FALSE
SbMg2Br2Re2Sr3,"['Sb', 'Mg', 'Br', 'Re', 'Sr']","['Sb - Non-Metal', 'Mg - Metal', 'Br - Non-Metal', 'Re - Metal', 'Sr - Metal']","[2.05, 1.31, 2.96, 1.9, 0.95]",5,"{'Sb': 1.0, 'Mg': 2.0, 'Br': 2.0, 'Re': 2.0, 'Sr': 3.0}",TRUE
Sn6,['Sn'],['Sn - Metal'],[1.96],1,{'Sn': 6.0},TRUE
MoCl4,"['Mo', 'Cl']","['Mo - Metal', 'Cl - Non-Metal']","[2.16, 3.16]",2,"{'Mo': 1.0, 'Cl': 4.0}",FALSE
MoF2Te3At3,"['Mo', 'F', 'Te', 'At']","['Mo - Metal', 'F - Non-Metal', 'Te - Non-Metal', 'At - Non-Metal']","[2.16, 3.98, 2.1, 2.2]",4,"{'Mo': 1.0, 'F': 2.0, 'Te': 3.0, 'At': 3.0}",FALSE
BrCl2N3Mo3,"['Br', 'Cl', 'N', 'Mo']","['Br - Non-Metal', 'Cl - Non-Metal', 'N - Non-Metal', 'Mo - Metal']","[2.96, 3.16, 3.04, 2.16]",4,"{'Br': 1.0, 'Cl': 2.0, 'N': 3.0, 'Mo': 3.0}",FALSE
IS3,"['I', 'S']","['I - Non-Metal', 'S - Non-Metal']","[2.66, 2.58]",2,"{'I': 1.0, 'S': 3.0}",FALSE
N4,['N'],['N - Non-Metal'],[3.04],1,{'N': 4.0},FALSE
LrC3As3,"['Lr', 'C', 'As']","['Lr - Metal', 'C - Non-Metal', 'As - Non-Metal']","[1.3, 2.55, 2.18]",3,"{'Lr': 1.0, 'C': 3.0, 'As': 3.0}",TRUE
AsC2Lu2,"['As', 'C', 'Lu']","['As - Non-Metal', 'C - Non-Metal', 'Lu - Metal']","[2.18, 2.55, 1.27]",3,"{'As': 1.0, 'C': 2.0, 'Lu': 2.0}",TRUE
CmH2O4Tc4,"['Cm', 'H', 'O', 'Tc']","['Cm - Metal', 'H - Unknown', 'O - Non-Metal', 'Tc - Metal']","[1.3, 2.2, 3.44, 1.9]",4,"{'Cm': 1.0, 'H': 2.0, 'O': 4.0, 'Tc': 4.0}",FALSE
Sb4,['Sb'],['Sb - Non-Metal'],[2.05],1,{'Sb': 4.0},FALSE
RuSe2Pd2Ra2,"['Ru', 'Se', 'Pd', 'Ra']","['Ru - Metal', 'Se - Non-Metal', 'Pd - Metal', 'Ra - Metal']","[2.2, 2.55, 2.2, 0.9]",4,"{'Ru': 1.0, 'Se': 2.0, 'Pd': 2.0, 'Ra': 2.0}",TRUE
Ru2O3W3,"['Ru', 'O', 'W']","['Ru - Metal', 'O - Non-Metal', 'W - Metal']","[2.2, 3.44, 2.36]",3,"{'Ru': 2.0, 'O': 3.0, 'W': 3.0}",FALSE
SnO4,"['Sn', 'O']","['Sn - Metal', 'O - Non-Metal']","[1.96, 3.44]",2,"{'Sn': 1.0, 'O': 4.0}",FALSE
NiPoGa2Pd3Ir5,"['Ni', 'Po', 'Ga', 'Pd', 'Ir']","['Ni - Metal', 'Po - Non-Metal', 'Ga - Metal', 'Pd - Metal', 'Ir - Metal']","[1.91, 2.0, 1.81, 2.2, 2.2]",5,"{'Ni': 1.0, 'Po': 1.0, 'Ga': 2.0, 'Pd': 3.0, 'Ir': 5.0}",TRUE
ClS2Fe3,"['Cl', 'S', 'Fe']","['Cl - Non-Metal', 'S - Non-Metal', 'Fe - Metal']","[3.16, 2.58, 1.83]",3,"{'Cl': 1.0, 'S': 2.0, 'Fe': 3.0}",FALSE
NbCd2P3,"['Nb', 'Cd', 'P']","['Nb - Metal', 'Cd - Metal', 'P - Non-Metal']","[1.6, 1.69, 2.19]",3,"{'Nb': 1.0, 'Cd': 2.0, 'P': 3.0}",TRUE
OYbH5,"['O', 'Yb', 'H']","['O - Non-Metal', 'Yb - Metal', 'H - Unknown']","[3.44, 1.1, 2.2]",3,"{'O': 1.0, 'Yb': 1.0, 'H': 5.0}",FALSE
TeI5,"['Te', 'I']","['Te - Non-Metal', 'I - Non-Metal']","[2.1, 2.66]",2,"{'Te': 1.0, 'I': 5.0}",FALSE
NaSmBr4,"['Na', 'Sm', 'Br']","['Na - Metal', 'Sm - Metal', 'Br - Non-Metal']","[0.93, 1.17, 2.96]",3,"{'Na': 1.0, 'Sm': 1.0, 'Br': 4.0}",TRUE
PmCl2Co4,"['Pm', 'Cl', 'Co']","['Pm - Metal', 'Cl - Non-Metal', 'Co - Metal']","[1.13, 3.16, 1.88]",3,"{'Pm': 1.0, 'Cl': 2.0, 'Co': 4.0}",TRUE
AlBrHfN2,"['Al', 'Br', 'Hf', 'N']","['Al - Metal', 'Br - Non-Metal', 'Hf - Metal', 'N - Non-Metal']","[1.61, 2.96, 1.3, 3.04]",4,"{'Al': 1.0, 'Br': 1.0, 'Hf': 1.0, 'N': 2.0}",FALSE
MnEsAt3,"['Mn', 'Es', 'At']","['Mn - Metal', 'Es - Metal', 'At - Non-Metal']","[1.55, 1.3, 2.2]",3,"{'Mn': 1.0, 'Es': 1.0, 'At': 3.0}",TRUE
FeRn4Mo5,"['Fe', 'Rn', 'Mo']","['Fe - Metal', 'Rn - Non-Metal', 'Mo - Metal']","[1.83, 2.2, 2.16]",3,"{'Fe': 1.0, 'Rn': 4.0, 'Mo': 5.0}",TRUE
AsO3,"['As', 'O']","['As - Non-Metal', 'O - Non-Metal']","[2.18, 3.44]",2,"{'As': 1.0, 'O': 3.0}",FALSE
P2Cu3,"['P', 'Cu']","['P - Non-Metal', 'Cu - Metal']","[2.19, 1.9]",2,"{'P': 2.0, 'Cu': 3.0}",TRUE
TeMn2I3,"['Te', 'Mn', 'I']","['Te - Non-Metal', 'Mn - Metal', 'I - Non-Metal']","[2.1, 1.55, 2.66]",3,"{'Te': 1.0, 'Mn': 2.0, 'I': 3.0}",FALSE
AsTl3,"['As', 'Tl']","['As - Non-Metal', 'Tl - Metal']","[2.18, 1.62]",2,"{'As': 1.0, 'Tl': 3.0}",TRUE
U2Tc3Se6,"['U', 'Tc', 'Se']","['U - Metal', 'Tc - Metal', 'Se - Non-Metal']","[1.38, 1.9, 2.55]",3,"{'U': 2.0, 'Tc': 3.0, 'Se': 6.0}",TRUE
